FACILITYID,avgCnx
M02-085-1 (M02P06),1
L01-223-1 (L08TBN1),0.77
L01-731-1 (L08TBN2),0.77
L01-125-1,0.77
L01-125-2,0.77
L01-125-3,0.77
L01-733-4,0
L02-359-1 (L02P43),0.77
L02-344-1,0.385
L02-622-1 (L02P28),0.77
L02-166-1 (L02PXX),0.77
L02-622-2 (L02P32),0.77
L02-198-1 (L02P29),0.25
L02-641-1,1
L02-166-3 (L02P26),0.77
L01-261-1,0.77
L03-455-2,1
L03-455-3 (L03P37),0
L03-455-4,0
L03-455-6,0
L03-455-7,1
L03-418-1,1
L03-418-2,0.5
L03-418-3,0.25
L03-418-8,1
L03-708-1,1
L03-708-5,0
L04-702-1 (L04P02),1
L04-702-4,0
L04-301-1 (L04P08),0.77
L04-266-1,0.77
L04-266-5,1
J07-9022-1,0.75
J07-9110-1,0.5
J07-9110-2,1
J07-9109-1,0.25
J07-9110-3,0.5
J07-9109-2,0.25
J07-9109-4 (J07P02),0.5
L03-691-1 (L03P09),0.5
L03-316-1,1
L03-316-3 (L03P12),1
L03-693-1 (L03P11),1
L03-662-3 (L03P16),0.5
L03-214-2 (L03P18),1
L03-074-1 (L03B01),1
L03-172-2,0.77
L03-141-1,1
L03-142-1 (L03P24),0.77
L03-241-4,1
L03-240-1 (L03P14),1
L05-049-1,1
L01-414-1,0.385
L01-404-1,0.77
L01-414-3,0.385
L01-414-2,0
L01-760-1,0.385
L01-760-2,0.77
L01-391-1,1
L01-391-3,1
L01-340-1,0.77
L01-733-2,1
L02-374-2 (MVL02P20),0.77
L02-401-1,1
J01-9273-1,0
SC07-079-4,1
M02-061-6,1
M01-003-1,0.77
M01-003-2,0.77
M01-002-1,0.77
M01-050-4 (M01@CGV),1
DP06-12106-1,0.25
L01-766-8,0
L01-747-1,0
L01-747-2,0.635
L05-489-3,1
L05-489-4,0.5
L05-489-7,1
L05-049-2,1
L01-372-1,0.77
L01-733-5,0
L01-730-1,1
L01-218-1,0.77
L01-218-2,0.77
L01-218-3,0.77
L01-218-4,0.5
L02-641-2,1
L03-455-5,0
L03-708-9,1
L03-708-11 (L03P05),0.5
J01-9033-1,0.77
J01-10012-3,0.77
L03-241-3,1
LC01-11446-1,0.75
I01-11010-1,1
I01-11015-3,0
I01-11023-1,0.9233333333333333
I01-11023-2,0
I01-11023-3,0
I01-11023-4,0
I01-11023-5,0
I01-11059-1,0
I01-11059-2,0
I01-11059-3,0
I01-11065-1,0
I01-11093-1,0
I01-11077-1,0
I01-11343-1,0.385
LC05-11017-1,0
DP04-12015-1,0
K01-12155-5,0.77
K01-12036-10,0.385
J03-9234-5,0.885
J04-9249-1,1
L03-316-4,0.75
L03-316-2,0.6666666666666666
J01-9082-3,0
J01-9082-4,1
L02-502-1,0.385
L02-502-6,0.77
L03-497-1,0.77
L02-502-5,0
L01-728-9,0
L01-727-3,0.5
J03-9216-2,0.5
M02-085-2,1
J01-9259-3,0
J03-9234-6,0.5
L02-396-1,0.77
L03-708-13,1
J01-9364-4,0
M02-052-4,1
L01-613-1,0.77
L02-366-1 (MVL02P14),0.635
M01-047-1,1
L01-471-1,0
L01-517-7,0
L01-517-6,0.77
L01-335-1,1
L01-494-1,0.385
L02-344-2,0.77
SC11-130-2,0.635
DP01-12022-2,0
DP01-12022-1,1
K01-12159-3,1
K01-12159-2,1
LC03-11515-1,0.5
I00-11518-2,0.885
LC04-11199-1,0.77
J03-9234-8,0.5
L04-672-1,0.5
L03-074-2,0.77
L03-172-3,0.77
J07-9022-6,0.5
L01-303-5,0.77
L01-303-4,1
L01-303-3,0.5
L01-303-2,1
L01-303-1,0.77
L01-517-8,0.77
M01-008-1,1
M01-038-3,1
SC02-072-4,0.77
M00.1-070-6,0.77
M01-099-1,1
M02-061-7,0
L05-503-1,1
L01-766-9,0.77
L01-749-5,0
L01-404-2,0.77
L03-141-2,1
L03-141-3,1
L01-749-2d,0.77
LC05-11017-2,0.77
M01-124-2,1
M01-124-4,0.75
L05-489-3d,1
M01-038-6,1
L04-136-1u (L04P07),0.5
L01-335-2,0.5
SC10-075-3 (M00S01),0.77
SC09-081-2d,0.77
M01-168-1d (M00P03),0.77
M01-168-2d (M00P03),0.77
K01-12156-6,1
L01-728-8d,0
SC11-035-1d,0.77
SC11-035-2d,0.25
I01-11195-2,0.77
M01-050-7,0.5
J03-9216-5,0.5
L01-399-1,0.77
L01-399-2,0.77
LC01-11480-1,0.77
SC11-035-3d,0
L01-242-1 (L07P16),1
I01-11503-5,1
L01-733-7,1
